,CS,ECS,FS,LS,MS
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9743.jpg,0.9986842,0.0011473575,7.314596e-05,5.3196854e-05,4.2104253e-05
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9734.jpg,0.513514,0.4812725,0.002291055,0.0011254926,0.0017970421
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9740.jpg,0.84493715,0.14375593,0.00010754599,2.4776371e-05,0.011174592
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9739.jpg,0.0026197375,0.0019259461,0.45474985,0.088785015,0.4519195
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9718.jpg,0.073927395,0.0034563001,0.017572539,0.0034366583,0.90160704
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9745.jpg,0.33889902,0.5550409,0.0074706785,0.094624646,0.0039647957
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9746.jpg,0.0015929185,0.00034193517,0.020334993,0.00013654488,0.97759354
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9748.jpg,0.0043295366,0.0010822087,0.029243212,0.9634552,0.0018898225
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9749.jpg,0.8963985,0.016664442,0.0017611281,0.0007020365,0.084473886
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9750.jpg,0.8963985,0.016664442,0.0017611281,0.0007020365,0.084473886
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9747.jpg,0.016398257,0.00065934804,0.025447814,0.0001489806,0.9573456
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9754.jpg,0.39408627,0.039856985,0.515879,0.016804073,0.03337372
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9755.jpg,0.00046149114,0.00046912572,0.9726618,0.024565276,0.001842274
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9767.jpg,0.029566389,0.019877208,0.0084531335,0.001208044,0.94089526
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9768.jpg,0.029566389,0.019877208,0.0084531335,0.001208044,0.94089526
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9758.jpg,0.00010652979,2.8511964e-05,6.3019674e-05,3.7804448e-06,0.9997981
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9763.jpg,0.024448212,0.006608125,0.06432343,0.0036785032,0.9009417
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9775.jpg,0.015632635,0.0050682616,0.77964294,0.04010979,0.15954635
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9773.jpg,0.99249446,0.007075354,0.00010605811,0.00022867668,9.5506985e-05
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9779.jpg,0.17087162,0.68616307,0.011325596,0.010140567,0.12149916
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9776.jpg,0.012758974,0.08817729,0.858822,0.02023005,0.020011656
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9769.jpg,0.0076748584,0.012250818,0.70083445,0.11342595,0.16581391
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9744.jpg,0.0010553983,0.002591373,0.45299736,0.016696887,0.526659
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9781.jpg,0.6163573,0.38138708,0.00083282305,0.00085832196,0.0005644236
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9788.jpg,0.011539327,0.14200875,0.5645233,0.26626363,0.015664946
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9792.jpg,0.0008154762,0.0006667993,0.6339565,0.002630861,0.36193037
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9780.jpg,0.0008843907,0.0009533556,0.935317,0.039524518,0.023320852
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9782.jpg,0.0008614995,0.00090167864,0.36469978,0.0018873401,0.6316498
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9796.jpg,0.99523866,0.004006633,0.00010075705,8.60487e-05,0.00056790246
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9793.jpg,0.0048686187,0.0029513447,0.4579351,0.0029790562,0.5312659
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9794.jpg,0.00062697363,5.3597298e-05,0.15550596,0.84258336,0.0012301452
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9795.jpg,0.046549033,0.10740415,0.7434319,0.008526163,0.09408874
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9797.jpg,0.00017428094,0.002101059,0.34062877,9.019168e-05,0.65700567
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9798.jpg,0.00039126808,6.458384e-05,0.0013635509,0.99809104,8.953402e-05
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9799.jpg,0.019226052,0.05008842,0.02631262,0.056013748,0.8483592
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9810.jpg,0.00015654782,1.9134299e-05,0.0008217301,0.9989742,2.838674e-05
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9812.jpg,1.2596801e-05,2.0748796e-05,0.0011544949,1.0536204e-06,0.9988111
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9800.jpg,0.019226052,0.05008842,0.02631262,0.056013748,0.8483592
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9813.jpg,7.638654e-07,1.0300777e-06,0.9960871,4.688521e-06,0.0039064954
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9823.jpg,0.9985097,0.0006299813,0.00010815486,4.4285232e-05,0.00070772093
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9825.jpg,0.07915254,0.02603615,0.015460976,0.001994245,0.8773561
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9832.jpg,0.03554303,0.035983056,0.11604381,0.80540633,0.0070237997
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9835.jpg,0.046622556,0.0016626954,0.13763484,0.017913079,0.7961668
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9843.jpg,0.00034059962,5.2005817e-05,0.0045058136,0.99492776,0.00017391407
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9824.jpg,0.006710404,0.98567396,0.0043715537,0.002113642,0.001130466
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9875.jpg,0.00018690794,0.0010986216,0.0041066436,1.6922231e-05,0.994591
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9867.jpg,0.029782746,0.04038439,0.34460852,0.5239457,0.061278734
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9878.jpg,0.9961578,0.0021969522,0.00011939742,0.00016209624,0.0013638117
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9879.jpg,0.97306913,0.025953704,8.988687e-05,0.00018498478,0.0007022426
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9830.jpg,0.00018967521,3.0194304e-05,0.015725499,0.9839968,5.7848607e-05
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9889.jpg,0.00024592396,7.572453e-05,0.014868842,0.98453265,0.00027686072
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9886.jpg,0.0008036286,0.0019005042,0.29694605,0.00044879736,0.69990104
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9892.jpg,0.0009033706,0.00041952322,0.76430994,0.23342559,0.00094160077
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9894.jpg,0.02492937,0.031007163,0.60084313,0.07908092,0.2641395
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9898.jpg,0.004950875,0.0124619985,0.15087944,0.002950188,0.8287575
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9896.jpg,0.027961204,0.20387886,0.06073618,0.023002386,0.68442136
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9899.jpg,0.08673526,0.88425577,0.009069102,0.008541843,0.01139805
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9907.jpg,0.04255684,0.067113794,0.041532326,0.002710248,0.8460868
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9917.jpg,0.0035681743,0.006507663,0.977657,0.0052124797,0.00705461
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9920.jpg,0.01905794,0.20174396,0.30507258,0.45495892,0.019166572
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9919.jpg,0.0031204931,0.0016019001,0.9209556,0.022138428,0.052183595
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9916.jpg,0.95417225,0.0040470217,0.0014398827,0.00042096095,0.03991986
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9921.jpg,0.0007105883,0.0003787595,0.56203085,0.0037105884,0.43316925
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9922.jpg,0.0021578695,0.001012734,0.93643165,0.015487707,0.044910092
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9923.jpg,0.010052954,0.013340653,0.5770262,0.02957897,0.37000114
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9925.jpg,0.0110647995,0.97071093,0.0034980949,0.0013426908,0.013383494
