,color_entropy
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9743.jpg,18.740482
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9734.jpg,22.22236
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9740.jpg,15.738178
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9739.jpg,23.142397
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9718.jpg,23.118996
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9745.jpg,22.406128
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9746.jpg,22.579708
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9748.jpg,21.03059
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9749.jpg,21.957954
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9750.jpg,21.957954
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9747.jpg,22.17303
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9754.jpg,23.29874
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9755.jpg,21.066833
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9767.jpg,20.055983
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9768.jpg,20.055983
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9758.jpg,23.642841
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9763.jpg,20.196112
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9775.jpg,18.638031
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9773.jpg,22.78571
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9779.jpg,23.462624
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9776.jpg,19.049307
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9769.jpg,23.488232
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9744.jpg,23.209404
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9781.jpg,21.032633
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9788.jpg,23.100773
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9792.jpg,23.149208
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9780.jpg,23.450335
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9782.jpg,22.39441
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9796.jpg,22.09452
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9793.jpg,22.616388
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9794.jpg,21.9026
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9795.jpg,19.539867
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9797.jpg,23.126385
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9798.jpg,23.076536
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9799.jpg,22.3619
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9810.jpg,23.200764
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9812.jpg,23.193975
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9800.jpg,22.3619
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9813.jpg,18.637781
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9823.jpg,9.865494
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9825.jpg,21.71599
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9832.jpg,14.090136
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9835.jpg,15.673722
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9843.jpg,21.7099
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9824.jpg,21.365301
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9875.jpg,23.23342
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9867.jpg,22.619337
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9878.jpg,20.856667
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9879.jpg,19.625458
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9830.jpg,21.079725
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9889.jpg,19.713875
