,angry,disappointed,happy,neutral,sad,surprised
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9743.jpg,0.0,0.0,0.0,1.0,0.0,0.0
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9734.jpg,0.0,0.0,0.0,0.0,0.0,0.0
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9740.jpg,0.0,0.0,0.0,0.0,0.0,0.0
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9739.jpg,0.0,0.0,0.0,0.0,0.0,0.0
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9718.jpg,0.0,0.0,0.0,1.0,0.0,0.0
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9745.jpg,0.0,0.0,0.0,1.0,0.0,0.0
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9746.jpg,0.0,0.0,1.0,0.0,0.0,0.0
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9748.jpg,0.0,0.0,0.0,0.0,0.0,0.0
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9749.jpg,0.0,0.0,0.0,0.0,0.0,0.0
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9750.jpg,0.0,0.0,0.0,0.0,0.0,0.0
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9747.jpg,0.0,0.0,0.0,0.0,0.0,0.0
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9754.jpg,0.0,0.0,0.0,0.0,0.0,0.0
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9755.jpg,0.0,0.0,0.0,0.0,0.0,0.0
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9767.jpg,0.0,0.0,0.0,1.0,0.0,0.0
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9768.jpg,0.0,0.0,0.0,1.0,0.0,0.0
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9758.jpg,0.0,0.0,0.0,0.0,0.0,0.0
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9763.jpg,0.0,0.0,0.0,1.0,0.0,0.0
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9775.jpg,0.0,0.0,0.0,0.0,0.0,0.0
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9773.jpg,0.0,0.0,0.0,0.0,0.0,0.0
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9779.jpg,0.0,0.0,0.0,1.0,0.0,0.0
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9776.jpg,0.0,0.0,0.0,0.0,0.0,0.0
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9769.jpg,0.0,0.0,0.0,0.0,0.0,0.0
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9744.jpg,0.0,0.0,0.0,0.0,0.0,0.0
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9781.jpg,0.0,0.0,0.0,0.0,0.0,0.0
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9788.jpg,0.0,0.0,0.0,0.0,0.0,0.0
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9792.jpg,0.0,0.0,0.0,0.0,0.0,0.0
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9780.jpg,0.0,0.0,0.0,0.0,0.0,0.0
